Beam	Node	X	Y	Z
Beam_65	15059	0.017426	0.0017229	0.011699
Beam_65	15090	0.017097	0.0057968	0.015288
Beam_65	15064	0.0095	0.0038031	0.013602
Beam_65	15082	0.0095141	0.0048068	0.014466
Beam_65	15062	0.012672	0.0029706	0.012858
Beam_65	15049	0.012672	0.0029705	0.0115
Beam_65	15080	0.012672	0.0056356	0.015156
Beam_65	15039	0.0079079	0.0033852	0.011883
Beam_65	15084	0.0063467	0.0056356	0.015156
Beam_65	15010	0.013327	0.0038091	0.012268
Beam_65	15018	0.006347	0.0056355	0.013857
Beam_65	15088	0.013307	0.0048023	0.014463
Beam_65	15074	0.0056861	0.0038021	0.013601
Beam_65	15073	0.0075949	0.0043031	0.014037
Beam_65	15063	0.011092	0.0033853	0.013232
Beam_65	15091	0.011422	0.0043075	0.01404
Beam_65	15094	0.013326	0.0038092	0.013607
Beam_65	15050	0.011092	0.0033852	0.011883
Beam_65	15012	0.013307	0.0048023	0.013146
Beam_65	15036	0.0038007	0.0052989	0.013573
Beam_65	15029	0.0075949	0.0043031	0.012709
Beam_65	15041	0.004738	0.0025533	0.011108
Beam_65	15065	0.0079081	0.0033853	0.013232
Beam_65	15079	0.014248	0.0060492	0.015493
Beam_65	15026	0.014248	0.0060491	0.014202
Beam_65	15081	0.011088	0.0052198	0.014813
Beam_65	15016	0.0095141	0.0048068	0.01315
Beam_65	24738	0.01425	0.0078019	0.016231
Beam_65	15071	0.0038005	0.0052989	0.014879
Beam_65	15030	0.0056859	0.0038021	0.012262
Beam_65	15019	0.0047664	0.0060491	0.014202
Beam_65	15085	0.0047661	0.0060492	0.015493
Beam_65	15028	0.011088	0.0052198	0.013505
Beam_65	15072	0.0057055	0.004799	0.01446
Beam_65	15067	0.0047385	0.0025534	0.012477
Beam_65	15038	0.0095	0.0038031	0.012263
Beam_65	15066	0.0063281	0.0029706	0.012858
Beam_65	15011	0.011422	0.0043075	0.012713
Beam_65	24740	0.00475	0.0078019	0.016231
Beam_65	15037	0.0057057	0.0047989	0.013143
Beam_65	15040	0.0063276	0.0029705	0.0115
Beam_65	15027	0.012672	0.0056355	0.013857
Beam_65	15017	0.0079359	0.0052198	0.013505
Beam_65	15083	0.0079357	0.0052198	0.014813
Beam_65	24739	0.0095	0.0078019	0.016231
Beam_173	17948	0.0095141	0.018807	0.023676
Beam_173	17897	0.0071424	0.019427	0.022867
Beam_173	17898	0.0047588	0.020051	0.023172
Beam_173	17949	0.0071423	0.019427	0.023981
Beam_173	17896	0.0095141	0.018807	0.022557
Beam_173	17899	0.002385	0.020672	0.023467
Beam_173	17950	0.0047588	0.020051	0.02428
Beam_173	17905	0.0075949	0.018303	0.022299
Beam_173	17946	0.014255	0.020051	0.02428
Beam_173	24666	0.01425	0.021802	0.024532
Beam_173	17953	0.01521	0.019302	0.02392
Beam_173	17944	0.0018938	0.016807	0.02264
Beam_173	17912	0.0037987	0.019299	0.022804
Beam_173	24668	0.00475	0.021802	0.024532
Beam_173	17939	0.0037986	0.019299	0.023919
Beam_173	24667	0.0095	0.021802	0.024532
Beam_173	17933	0.011883	0.017178	0.022838
Beam_173	17922	0.011883	0.017178	0.021704
Beam_173	17921	0.014252	0.016556	0.021363
Beam_173	17932	0.014252	0.016556	0.022504
Beam_173	17945	0.016622	0.020672	0.02457
Beam_173	17956	0.01711	0.016819	0.022646
Beam_173	17902	0.016622	0.020672	0.023467
Beam_173	24665	0.0	0.021802	0.024532
Beam_173	17941	0.0075949	0.018303	0.023423
Beam_173	17888	0.01711	0.016819	0.021508
Beam_173	17958	0.013321	0.017811	0.02317
Beam_173	17934	0.0095	0.017803	0.023166
Beam_173	17890	0.013321	0.017811	0.022042
Beam_173	17931	0.016633	0.015931	0.02216
Beam_173	17903	0.014255	0.020051	0.023172
Beam_173	17908	0.0018938	0.016807	0.021502
Beam_173	17914	0.0095	0.017803	0.022038
Beam_173	17955	0.011422	0.018308	0.023425
Beam_173	17889	0.015212	0.017316	0.021778
Beam_173	17892	0.013312	0.018804	0.022555
Beam_173	24664	0.019	0.021802	0.024532
Beam_173	17907	0.0037961	0.017306	0.021773
Beam_173	17935	0.0071173	0.017178	0.022838
Beam_173	17915	0.0071173	0.017178	0.021704
Beam_173	17911	0.001903	0.019797	0.023049
Beam_173	17938	0.001903	0.019797	0.024159
Beam_173	17904	0.011879	0.019427	0.022867
Beam_173	17943	0.0037961	0.017306	0.022906
Beam_173	17951	0.0023849	0.020672	0.02457
Beam_173	17920	0.016633	0.015931	0.021013
Beam_173	17893	0.01521	0.019302	0.022805
Beam_173	17917	0.0023669	0.015931	0.021013
Beam_173	17937	0.002367	0.015931	0.02216
Beam_173	17913	0.0057007	0.0188	0.022553
Beam_173	17957	0.015212	0.017316	0.022911
Beam_173	17947	0.011879	0.019427	0.023981
Beam_173	17891	0.011422	0.018308	0.022301
Beam_173	17942	0.0056914	0.017804	0.023166
Beam_173	17906	0.0056914	0.017804	0.022038
Beam_173	17940	0.0057006	0.0188	0.023673
Beam_173	17894	0.017101	0.019798	0.023049
Beam_173	17954	0.017101	0.019798	0.02416
Beam_173	17916	0.0047478	0.016556	0.021363
Beam_173	17952	0.013312	0.018804	0.023674
Beam_173	17936	0.0047479	0.016556	0.022504
Beam_335	21831	0.0037971	0.038306	0.030027
Beam_335	21809	0.014251	0.037556	0.028879
Beam_335	24602	0.0	0.042803	0.030136
Beam_335	21792	0.011884	0.040429	0.029343
Beam_335	21790	0.016627	0.041674	0.029506
Beam_335	21822	0.0095	0.038803	0.030109
Beam_335	21819	0.016627	0.036932	0.02978
Beam_335	21801	0.0056973	0.039801	0.029252
Beam_335	21795	0.0037971	0.038306	0.029012
Beam_335	21834	0.014257	0.041051	0.030436
Beam_335	21791	0.014257	0.041051	0.029427
Beam_335	21820	0.014251	0.037556	0.029895
Beam_335	21784	0.0095141	0.039807	0.029253
Beam_335	24604	0.0095	0.042803	0.030136
Beam_335	24605	0.00475	0.042803	0.030136
Beam_335	21824	0.0047495	0.037556	0.029895
Beam_335	21804	0.0047495	0.037556	0.028879
Beam_335	21779	0.011422	0.039308	0.029177
Beam_335	21776	0.017107	0.03782	0.028927
Beam_335	21839	0.00238	0.041674	0.030513
Beam_335	21787	0.00238	0.041674	0.029506
Beam_335	21835	0.011884	0.040429	0.030353
Beam_335	21828	0.0056973	0.039801	0.030263
Beam_335	21785	0.0071373	0.040429	0.029343
Beam_335	21842	0.017104	0.040799	0.030403
Beam_335	21829	0.0075949	0.039303	0.030188
Beam_335	21780	0.013315	0.039804	0.029253
Beam_335	21803	0.0071228	0.038179	0.02899
Beam_335	21823	0.0071229	0.038179	0.030005
Beam_335	21826	0.0018998	0.040798	0.030403
Beam_335	21799	0.0018998	0.040798	0.029394
Beam_335	21805	0.0023726	0.036932	0.028762
Beam_335	21845	0.015211	0.038316	0.030028
Beam_335	21833	0.016627	0.041674	0.030513
Beam_335	21836	0.0095141	0.039807	0.030264
Beam_335	21808	0.016627	0.036932	0.028762
Beam_335	21846	0.013318	0.038811	0.03011
Beam_335	21778	0.013318	0.038811	0.029097
Beam_335	21781	0.015211	0.040302	0.029325
Beam_335	21837	0.0071373	0.040429	0.030353
Beam_335	21782	0.017104	0.040799	0.029394
Beam_335	21802	0.0095	0.038803	0.029096
Beam_335	21825	0.0023726	0.036932	0.02978
Beam_335	21830	0.0056949	0.038804	0.030109
Beam_335	21777	0.015211	0.038316	0.029014
Beam_335	21840	0.013315	0.039804	0.030264
Beam_335	24601	0.019	0.042803	0.030136
Beam_335	21793	0.0075949	0.039303	0.029176
Beam_335	21841	0.015211	0.040302	0.030335
Beam_335	21832	0.0018973	0.037808	0.02994
Beam_335	21786	0.0047574	0.041051	0.029427
Beam_335	21810	0.011877	0.038179	0.02899
Beam_335	21838	0.0047574	0.041051	0.030436
Beam_335	21827	0.0037977	0.0403	0.030335
