Node	X	Y	Z
15410	0.02	0.1073	0.016476
15411	0.027936	0.10522	0.014813
15412	0.026347	0.10564	0.015156
15413	0.024766	0.10605	0.015493
15414	0.023175	0.10647	0.015826
15415	0.021593	0.10688	0.016152
15416	0.029514	0.10481	0.014466
15417	0.033307	0.1048	0.014463
15418	0.035208	0.1053	0.014881
15419	0.037097	0.1058	0.015288
15420	0.031422	0.10431	0.01404
15421	0.037412	0.10688	0.016152
15422	0.035834	0.10647	0.015826
15423	0.034248	0.10605	0.015493
15424	0.032672	0.10564	0.015156
15425	0.031088	0.10522	0.014813
15426	0.027908	0.10339	0.013232
15427	0.026328	0.10297	0.012858
15428	0.024738	0.10255	0.012477
15429	0.023161	0.10214	0.012092
15430	0.021574	0.10172	0.011699
15431	0.0295	0.1038	0.013602
15432	0.037426	0.10172	0.011699
15433	0.035839	0.10214	0.012092
15434	0.034262	0.10255	0.012477
15435	0.032672	0.10297	0.012858
15436	0.031092	0.10339	0.013232
15437	0.025686	0.1038	0.013601
15438	0.023794	0.10331	0.01316
15439	0.021888	0.10281	0.012708
15440	0.027595	0.1043	0.014037
15441	0.037116	0.10282	0.012719
15442	0.035215	0.10332	0.013169
15443	0.033326	0.10381	0.013607
15444	0.021908	0.1058	0.015287
15445	0.023801	0.1053	0.014879
15446	0.025705	0.1048	0.01446
15447	0.059	0.10131	0.0099005
15448	0.057426	0.10172	0.010308
15449	0.055839	0.10214	0.010713
15450	0.054262	0.10255	0.011108
15451	0.052672	0.10297	0.0115
15452	0.051092	0.10339	0.011883
15453	0.0495	0.1038	0.012263
15454	0.049514	0.10481	0.01315
15455	0.047936	0.10522	0.013505
15456	0.046347	0.10564	0.013857
15457	0.044766	0.10605	0.014202
15458	0.043176	0.10647	0.014543
15459	0.041593	0.10688	0.014877
15460	0.04	0.1073	0.015208
15461	0.047908	0.10339	0.011883
15462	0.046328	0.10297	0.0115
15463	0.044738	0.10255	0.011108
15464	0.043161	0.10214	0.010713
15465	0.041574	0.10172	0.010308
15466	0.04	0.10131	0.0099005
15467	0.047595	0.1043	0.012709
15468	0.045686	0.1038	0.012262
15469	0.043794	0.10331	0.01181
15470	0.041888	0.10281	0.011346
15471	0.04	0.10231	0.010876
15472	0.04	0.1063	0.014405
15473	0.041908	0.1058	0.013991
15474	0.043801	0.1053	0.013573
15475	0.045706	0.1048	0.013143
15476	0.059	0.1073	0.015208
15477	0.057412	0.10688	0.014877
15478	0.055834	0.10647	0.014543
15479	0.054248	0.10605	0.014202
15480	0.052672	0.10564	0.013857
15481	0.051088	0.10522	0.013505
15482	0.051422	0.10431	0.012713
15483	0.053307	0.1048	0.013146
15484	0.055208	0.1053	0.013575
15485	0.057096	0.1058	0.013992
15486	0.059	0.1063	0.014405
15487	0.059	0.10232	0.010891
15488	0.057116	0.10282	0.011357
15489	0.055215	0.10332	0.011819
15490	0.053327	0.10381	0.012268
15491	0.059	0.10131	0.011302
15492	0.059	0.10232	0.012265
15493	0.059	0.1073	0.016476
15494	0.059	0.1063	0.015691
15495	0.04	0.10131	0.011302
15496	0.04	0.10231	0.012251
15497	0.04	0.1073	0.016476
15498	0.04	0.1063	0.015691
15499	0.057116	0.10282	0.012719
15500	0.055215	0.10332	0.013169
15501	0.053326	0.10381	0.013607
15502	0.051422	0.10431	0.01404
15503	0.053307	0.1048	0.014463
15504	0.055208	0.1053	0.014881
15505	0.057097	0.1058	0.015288
15506	0.057412	0.10688	0.016152
15507	0.055834	0.10647	0.015826
15508	0.054248	0.10605	0.015493
15509	0.052672	0.10564	0.015156
15510	0.051088	0.10522	0.014813
15511	0.049514	0.10481	0.014466
15512	0.041908	0.1058	0.015287
15513	0.0438	0.1053	0.014879
15514	0.045705	0.1048	0.01446
15515	0.047595	0.1043	0.014037
15516	0.045686	0.1038	0.013601
15517	0.043794	0.10331	0.01316
15518	0.041888	0.10281	0.012708
15519	0.047908	0.10339	0.013232
15520	0.046328	0.10297	0.012858
15521	0.044738	0.10255	0.012477
15522	0.043161	0.10214	0.012092
15523	0.041574	0.10172	0.011699
15524	0.0495	0.1038	0.013602
15525	0.047936	0.10522	0.014813
15526	0.046347	0.10564	0.015156
15527	0.044766	0.10605	0.015493
15528	0.043175	0.10647	0.015826
15529	0.041593	0.10688	0.016152
15530	0.057426	0.10172	0.011699
15531	0.055839	0.10214	0.012092
15532	0.054262	0.10255	0.012477
15533	0.052672	0.10297	0.012858
15534	0.051092	0.10339	0.013232
15535	0.0	0.20131	0.0099005
15536	-7.8139e-18	0.20231	0.010876
15537	-1.3878e-17	0.2063	0.014405
15538	0.0	0.2073	0.015208
15539	0.019	0.20131	0.0099005
15540	0.019	0.20232	0.010891
15541	0.019	0.2063	0.014405
15542	0.019	0.2073	0.015208
15543	0.017116	0.20282	0.011357
15544	0.015215	0.20331	0.011819
15545	0.013327	0.20381	0.012268
15546	0.011422	0.20431	0.012713
15547	0.013307	0.2048	0.013146
15548	0.015208	0.2053	0.013574
15549	0.017096	0.2058	0.013992
15550	0.0095	0.2038	0.012263
15551	0.0079079	0.20339	0.011883
15552	0.0063276	0.20297	0.0115
15553	0.0047376	0.20255	0.011108
15554	0.0031608	0.20214	0.010713
15555	0.0015739	0.20172	0.010308
15556	0.017426	0.20172	0.010308
15557	0.015839	0.20214	0.010713
15558	0.014262	0.20255	0.011108
15559	0.012672	0.20297	0.0115
15560	0.011092	0.20339	0.011883
15561	0.0095141	0.20481	0.01315
15562	0.0079359	0.20522	0.013505
15563	0.006347	0.20564	0.013857
15564	0.0047667	0.20605	0.014202
15565	0.0031755	0.20647	0.014543
15566	0.0015927	0.20688	0.014877
15567	0.017412	0.20688	0.014877
15568	0.015834	0.20647	0.014543
15569	0.014247	0.20605	0.014202
15570	0.012672	0.20564	0.013857
15571	0.011088	0.20522	0.013505
15572	0.0075949	0.2043	0.012709
15573	0.0056859	0.2038	0.012262
15574	0.0037933	0.20331	0.01181
15575	0.001888	0.20281	0.011346
15576	0.0019078	0.2058	0.013991
15577	0.0038009	0.2053	0.013573
15578	0.0057057	0.2048	0.013143
15579	0.0019077	0.2058	0.015287
15580	0.0038007	0.2053	0.014879
15581	0.0057055	0.2048	0.01446
15582	0.0	0.2063	0.015691
15583	0.0075949	0.2043	0.014037
