BodyID	Node	X	Y	Z
-340349.0	24785	0.02475	0.10081	0.010193
-340349.0	24781	0.039	0.10081	0.010193
-340349.0	24782	0.02	0.10081	0.010193
-340349.0	24786			
-340349.0	24787			
-340349.0	24788			
-340349.0	24789			
-340347.0	24791	0.0	0.10081	0.010193
-340347.0	24795			
-340347.0	24794	0.00475	0.10081	0.010193
-340347.0	24796			
-340347.0	24797			
-340347.0	24798			
-340347.0	24793	0.0095	0.10081	0.010193
-340347.0	24792	0.01425	0.10081	0.010193
-340347.0	24790	0.019	0.10081	0.010193
-340345.0	24803	0.00475	0.1078	0.016231
-340345.0	24802	0.0095	0.1078	0.016231
-340345.0	24801	0.01425	0.1078	0.016231
-340345.0	24800	0.0	0.1078	0.016231
-340345.0	24799	0.019	0.1078	0.016231
-340345.0	24806			
-340345.0	24804			
-340345.0	24805			
-340345.0	24807			
-340343.0	24812	0.00475	0.1148	0.020937
-340343.0	24816			
-340343.0	24809	0.0	0.1148	0.020937
-340343.0	24813			
-340343.0	24808	0.019	0.1148	0.020937
-340343.0	24811	0.0095	0.1148	0.020937
-340343.0	24815			
-340343.0	24810	0.01425	0.1148	0.020937
-340343.0	24814			
-340341.0	24820	0.0095	0.1218	0.024532
-340341.0	24818	0.0	0.1218	0.024532
-340341.0	24817	0.019	0.1218	0.024532
-340341.0	24824			
-340341.0	24822			
-340341.0	24821	0.00475	0.1218	0.024532
-340341.0	24819	0.01425	0.1218	0.024532
-340341.0	24825			
-340341.0	24823			
-340339.0	24827	0.0	0.1288	0.027198
-340339.0	24834			
-340339.0	24826	0.019	0.1288	0.027198
-340339.0	24828	0.01425	0.1288	0.027198
-340339.0	24829	0.0095	0.1288	0.027198
-340339.0	24830	0.00475	0.1288	0.027198
-340339.0	24831			
-340339.0	24832			
-340339.0	24833			
-340337.0	24835	0.019	0.1358	0.029044
-340337.0	24836	0.0	0.1358	0.029044
-340337.0	24837	0.01425	0.1358	0.029044
-340337.0	24838	0.0095	0.1358	0.029044
-340337.0	24839	0.00475	0.1358	0.029044
-340337.0	24840			
-340337.0	24841			
-340337.0	24843			
-340337.0	24842			
-340335.0	24852			
-340335.0	24847	0.0095	0.1428	0.030136
-340335.0	24851			
-340335.0	24846	0.01425	0.1428	0.030136
-340335.0	24844	0.019	0.1428	0.030136
-340335.0	24850			
-340335.0	24848	0.00475	0.1428	0.030136
-340335.0	24845	0.0	0.1428	0.030136
-340335.0	24849			
-340333.0	24857	0.02475	0.1428	0.030136
-340333.0	24859			
-340333.0	24856	0.0295	0.1428	0.030136
-340333.0	24855	0.03425	0.1428	0.030136
-340333.0	24854	0.02	0.1428	0.030136
-340333.0	24858			
-340333.0	24853	0.039	0.1428	0.030136
-340333.0	24860			
-340333.0	24861			
-340331.0	24866	0.02475	0.1358	0.029044
-340331.0	24864	0.03425	0.1358	0.029044
-340331.0	24865	0.0295	0.1358	0.029044
-340331.0	24862	0.039	0.1358	0.029044
-340331.0	24863	0.02	0.1358	0.029044
-340331.0	24868			
-340331.0	24869			
-340331.0	24867			
-340331.0	24870			
-340329.0	24879			
-340329.0	24878			
-340329.0	24877			
-340329.0	24876			
-340329.0	24875	0.02475	0.1288	0.027198
-340329.0	24873	0.03425	0.1288	0.027198
-340329.0	24871	0.039	0.1288	0.027198
-340329.0	24872	0.02	0.1288	0.027198
-340329.0	24874	0.0295	0.1288	0.027198
-340327.0	24888			
-340327.0	24886			
-340327.0	24885			
-340327.0	24880	0.039	0.1218	0.024532
-340327.0	24881	0.02	0.1218	0.024532
-340327.0	24882	0.03425	0.1218	0.024532
-340327.0	24884	0.02475	0.1218	0.024532
-340327.0	24883	0.0295	0.1218	0.024532
-340327.0	24887			
-340325.0	24889	0.039	0.1148	0.020937
-340325.0	24896			
-340325.0	24895			
-340325.0	24894			
-340325.0	24892	0.0295	0.1148	0.020937
-340325.0	24893	0.02475	0.1148	0.020937
-340325.0	24897			
-340325.0	24890	0.02	0.1148	0.020937
-340325.0	24891	0.03425	0.1148	0.020937
-340323.0	24906			
-340323.0	24903			
-340323.0	24900	0.03425	0.1078	0.016231
-340323.0	24902	0.02475	0.1078	0.016231
-340323.0	24901	0.0295	0.1078	0.016231
-340323.0	24899	0.02	0.1078	0.016231
-340323.0	24904			
-340323.0	24898	0.039	0.1078	0.016231
-340323.0	24905			
-340321.0	24908	0.04	0.1078	0.016231
-340321.0	24909	0.05425	0.1078	0.016231
-340321.0	24910	0.0495	0.1078	0.016231
-340321.0	24911	0.04475	0.1078	0.016231
-340321.0	24912			
-340321.0	24913			
-340321.0	24914			
-340321.0	24907	0.059	0.1078	0.016231
-340321.0	24915			
-340319.0	24924			
-340319.0	24918	0.05425	0.1148	0.020937
-340319.0	24917	0.04	0.1148	0.020937
-340319.0	24920	0.04475	0.1148	0.020937
-340319.0	24921			
-340319.0	24922			
-340319.0	24919	0.0495	0.1148	0.020937
-340319.0	24916	0.059	0.1148	0.020937
-340319.0	24923			
-340317.0	24927	0.05425	0.1218	0.024532
-340317.0	24933			
-340317.0	24930			
-340317.0	24929	0.04475	0.1218	0.024532
-340317.0	24931			
-340317.0	24932			
-340317.0	24926	0.04	0.1218	0.024532
-340317.0	24925	0.059	0.1218	0.024532
-340317.0	24928	0.0495	0.1218	0.024532
-340315.0	24941			
-340315.0	24938	0.04475	0.1288	0.027198
-340315.0	24939			
-340315.0	24937	0.0495	0.1288	0.027198
-340315.0	24934	0.059	0.1288	0.027198
-340315.0	24940			
-340315.0	24942			
-340315.0	24935	0.04	0.1288	0.027198
-340315.0	24936	0.05425	0.1288	0.027198
-340313.0	24947	0.04475	0.1358	0.029044
-340313.0	24949			
-340313.0	24950			
-340313.0	24948			
-340313.0	24944	0.04	0.1358	0.029044
-340313.0	24945	0.05425	0.1358	0.029044
-340313.0	24946	0.0495	0.1358	0.029044
-340313.0	24943	0.059	0.1358	0.029044
-340313.0	24951			
-340311.0	24960			
-340311.0	24953	0.04	0.1428	0.030136
-340311.0	24954	0.05425	0.1428	0.030136
-340311.0	24959			
-340311.0	24958			
-340311.0	24957			
-340311.0	24956	0.04475	0.1428	0.030136
-340311.0	24955	0.0495	0.1428	0.030136
-340311.0	24952	0.059	0.1428	0.030136
-340309.0	24966			
-340309.0	24968			
-340309.0	24969			
-340309.0	24964	0.0495	0.1498	0.030509
-340309.0	24962	0.04	0.1498	0.030509
-340309.0	24963	0.05425	0.1498	0.030509
-340309.0	24965	0.04475	0.1498	0.030509
-340309.0	24967			
-340309.0	24961	0.059	0.1498	0.030509
-340307.0	24970	0.039	0.1498	0.030509
-340307.0	24971	0.02	0.1498	0.030509
-340307.0	24978			
-340307.0	24976			
-340307.0	24977			
-340307.0	24973	0.0295	0.1498	0.030509
-340307.0	24974	0.02475	0.1498	0.030509
-340307.0	24972	0.03425	0.1498	0.030509
-340307.0	24975			
-340305.0	24979	0.019	0.1498	0.030509
-340305.0	24986			
-340305.0	24985			
-340305.0	24984			
-340305.0	24983	0.00475	0.1498	0.030509
-340305.0	24982	0.0095	0.1498	0.030509
-340305.0	24981	0.01425	0.1498	0.030509
-340305.0	24980	0.0	0.1498	0.030509
-340305.0	24987			
-340303.0	24996			
-340303.0	24990	0.01425	0.1568	0.030176
-340303.0	24989	0.0	0.1568	0.030176
-340303.0	24992	0.00475	0.1568	0.030176
-340303.0	24993			
-340303.0	24994			
-340303.0	24991	0.0095	0.1568	0.030176
-340303.0	24988	0.019	0.1568	0.030176
-340303.0	24995			
-340301.0	25000	0.0295	0.1568	0.030176
-340301.0	24997	0.039	0.1568	0.030176
-340301.0	25002			
-340301.0	25001	0.02475	0.1568	0.030176
-340301.0	25003			
-340301.0	24998	0.02	0.1568	0.030176
-340301.0	25004			
-340301.0	25005			
-340301.0	24999	0.03425	0.1568	0.030176
-340299.0	25013			
-340299.0	25010	0.04475	0.1568	0.030176
-340299.0	25011			
-340299.0	25014			
-340299.0	25012			
-340299.0	25006	0.059	0.1568	0.030176
-340299.0	25009	0.0495	0.1568	0.030176
-340299.0	25007	0.04	0.1568	0.030176
-340299.0	25008	0.05425	0.1568	0.030176
-340297.0	25020			
-340297.0	25018	0.0495	0.1638	0.029125
-340297.0	25017	0.05425	0.1638	0.029125
-340297.0	25015	0.059	0.1638	0.029125
-340297.0	25016	0.04	0.1638	0.029125
-340297.0	25023			
-340297.0	25021			
-340297.0	25022			
-340297.0	25019	0.04475	0.1638	0.029125
-340295.0	25032			
-340295.0	25030			
-340295.0	25029			
-340295.0	25028	0.02475	0.1638	0.029125
-340295.0	25026	0.03425	0.1638	0.029125
-340295.0	25031			
-340295.0	25027	0.0295	0.1638	0.029125
-340295.0	25025	0.02	0.1638	0.029125
-340295.0	25024	0.039	0.1638	0.029125
-340293.0	25034	0.0	0.1638	0.029125
-340293.0	25033	0.019	0.1638	0.029125
-340293.0	25036	0.0095	0.1638	0.029125
-340293.0	25037	0.00475	0.1638	0.029125
-340293.0	25039			
-340293.0	25041			
-340293.0	25040			
-340293.0	25038			
-340293.0	25035	0.01425	0.1638	0.029125
-340291.0	25050			
-340291.0	25042	0.019	0.1708	0.027323
-340291.0	25049			
-340291.0	25048			
-340291.0	25047			
-340291.0	25046	0.00475	0.1708	0.027323
-340291.0	25045	0.0095	0.1708	0.027323
-340291.0	25044	0.01425	0.1708	0.027323
-340291.0	25043	0.0	0.1708	0.027323
-340289.0	25059			
-340289.0	25052	0.02	0.1708	0.027323
-340289.0	25054	0.0295	0.1708	0.027323
-340289.0	25053	0.03425	0.1708	0.027323
-340289.0	25057			
-340289.0	25056			
-340289.0	25058			
-340289.0	25055	0.02475	0.1708	0.027323
-340289.0	25051	0.039	0.1708	0.027323
-340287.0	25067			
-340287.0	25065			
-340287.0	25066			
-340287.0	25063	0.0495	0.1708	0.027323
-340287.0	25062	0.05425	0.1708	0.027323
-340287.0	25061	0.04	0.1708	0.027323
-340287.0	25064	0.04475	0.1708	0.027323
-340287.0	25068			
-340287.0	25060	0.059	0.1708	0.027323
-340285.0	25075			
-340285.0	25076			
-340285.0	25074			
-340285.0	25072	0.0495	0.1778	0.024705
-340285.0	25071	0.05425	0.1778	0.024705
-340285.0	25077			
-340285.0	25070	0.04	0.1778	0.024705
-340285.0	25073	0.04475	0.1778	0.024705
-340285.0	25069	0.059	0.1778	0.024705
-340283.0	25083			
-340283.0	25078	0.039	0.1778	0.024705
-340283.0	25081	0.0295	0.1778	0.024705
-340283.0	25080	0.03425	0.1778	0.024705
-340283.0	25082	0.02475	0.1778	0.024705
-340283.0	25086			
-340283.0	25084			
-340283.0	25085			
-340283.0	25079	0.02	0.1778	0.024705
-340281.0	25087	0.019	0.1778	0.024705
-340281.0	25093			
-340281.0	25092			
-340281.0	25089	0.01425	0.1778	0.024705
-340281.0	25088	0.0	0.1778	0.024705
-340281.0	25090	0.0095	0.1778	0.024705
-340281.0	25094			
-340281.0	25091	0.00475	0.1778	0.024705
-340281.0	25095			
-340279.0	25099	0.0495	0.19899	0.010367
-340279.0	25097	0.04	0.19899	0.010367
-340279.0	25096	0.059	0.19899	0.010367
-340279.0	25104			
-340279.0	25101			
-340279.0	25102			
-340279.0	25100	0.04475	0.19899	0.010367
-340279.0	25103			
-340279.0	25098	0.05425	0.19899	0.010367
-340277.0	25112			
-340277.0	25110			
-340277.0	25108	0.0495	0.20081	0.010193
-340277.0	25106	0.04	0.20081	0.010193
-340277.0	25105	0.059	0.20081	0.010193
-340277.0	25111			
-340277.0	25107	0.05425	0.20081	0.010193
-340277.0	25109	0.04475	0.20081	0.010193
-340277.0	25113			
-340275.0	25115	0.02	0.20081	0.010193
-340275.0	25121			
-340275.0	25116	0.03425	0.20081	0.010193
-340275.0	25118	0.02475	0.20081	0.010193
-340275.0	25117	0.0295	0.20081	0.010193
-340275.0	25122			
-340275.0	25120			
-340275.0	25119			
-340275.0	25114	0.039	0.20081	0.010193
-340273.0	25131			
-340273.0	25124	0.02	0.19899	0.010367
-340273.0	25125	0.03425	0.19899	0.010367
-340273.0	25126	0.0295	0.19899	0.010367
-340273.0	25127	0.02475	0.19899	0.010367
-340273.0	25128			
-340273.0	25130			
-340273.0	25129			
-340273.0	25123	0.039	0.19899	0.010367
-340271.0	25140			
-340271.0	25134	0.01425	0.20081	0.010193
-340271.0	25132	0.019	0.20081	0.010193
-340271.0	25137			
-340271.0	25136	0.00475	0.20081	0.010193
-340271.0	25138			
-340271.0	25133	0.0	0.20081	0.010193
-340271.0	25135	0.0095	0.20081	0.010193
-340271.0	25139			
-340269.0	25141	0.019	0.19899	0.010367
-340269.0	25147			
-340269.0	25143	0.01425	0.19899	0.010367
-340269.0	25146			
-340269.0	25145	0.00475	0.19899	0.010367
-340269.0	25144	0.0095	0.19899	0.010367
-340269.0	25148			
-340269.0	25149			
-340269.0	25142	0.0	0.19899	0.010367
-340267.0	25158			
-340267.0	25154	0.00475	0.1918	0.016529
-340267.0	25151	0.0	0.1918	0.016529
-340267.0	25156			
-340267.0	25150	0.019	0.1918	0.016529
-340267.0	25153	0.0095	0.1918	0.016529
-340267.0	25157			
-340267.0	25155			
-340267.0	25152	0.01425	0.1918	0.016529
