Node	X	Y	Z
24453			
24454			
24455			
24456			
24457	0.019	0.084804	0.021166
24458	0.0	0.084804	0.021166
24459	0.01425	0.084804	0.021166
24460	0.0095	0.084804	0.021166
24461	0.00475	0.084804	0.021166
24462			
24463			
24464			
24465			
24466	0.019	0.077804	0.024705
24467	0.0	0.077804	0.024705
24468	0.01425	0.077804	0.024705
24469	0.0095	0.077804	0.024705
24470	0.00475	0.077804	0.024705
24471			
24472			
24473			
24474			
24475	0.039	0.070803	0.027323
24476	0.02	0.070803	0.027323
24477	0.03425	0.070803	0.027323
24478	0.0295	0.070803	0.027323
24479	0.02475	0.070803	0.027323
24480			
24481			
24482			
24483			
24484	0.059	0.070803	0.027323
24485	0.04	0.070803	0.027323
24486	0.05425	0.070803	0.027323
24487	0.0495	0.070803	0.027323
24488	0.04475	0.070803	0.027323
24489			
24490			
24491			
24492			
24493	0.059	0.063803	0.029125
24494	0.04	0.063803	0.029125
24495	0.05425	0.063803	0.029125
24496	0.0495	0.063803	0.029125
24497	0.04475	0.063803	0.029125
24498			
24499			
24500			
24501			
24502	0.039	0.063803	0.029125
24503	0.02	0.063803	0.029125
24504	0.03425	0.063803	0.029125
24505	0.0295	0.063803	0.029125
24506	0.02475	0.063803	0.029125
24507			
24508			
24509			
24510			
24511	0.019	0.063803	0.029125
24512	0.0	0.063803	0.029125
24513	0.01425	0.063803	0.029125
24514	0.0095	0.063803	0.029125
24515	0.00475	0.063803	0.029125
24516			
24517			
24518			
24519			
24520	0.019	0.070803	0.027323
24521	0.0	0.070803	0.027323
24522	0.01425	0.070803	0.027323
24523	0.0095	0.070803	0.027323
24524	0.00475	0.070803	0.027323
24525			
24526			
24527			
24528			
24529	0.059	0.056803	0.030176
24530	0.04	0.056803	0.030176
24531	0.05425	0.056803	0.030176
24532	0.0495	0.056803	0.030176
24533	0.04475	0.056803	0.030176
24534			
24535			
24536			
24537			
24538	0.039	0.056803	0.030176
24539	0.02	0.056803	0.030176
24540	0.03425	0.056803	0.030176
24541	0.0295	0.056803	0.030176
24542	0.02475	0.056803	0.030176
24543			
24544			
24545			
24546			
24547	0.019	0.056803	0.030176
24548	0.0	0.056803	0.030176
24549	0.01425	0.056803	0.030176
24550	0.0095	0.056803	0.030176
24551	0.00475	0.056803	0.030176
24552			
24553			
24554			
24555			
24556	0.019	0.049803	0.030509
24557	0.0	0.049803	0.030509
24558	0.01425	0.049803	0.030509
24559	0.0095	0.049803	0.030509
24560	0.00475	0.049803	0.030509
24561			
24562			
24563			
24564			
24565	0.039	0.049803	0.030509
24566	0.02	0.049803	0.030509
24567	0.03425	0.049803	0.030509
24568	0.0295	0.049803	0.030509
24569	0.02475	0.049803	0.030509
24570			
24571			
24572			
24573			
24574	0.059	0.049803	0.030509
24575	0.04	0.049803	0.030509
24576	0.05425	0.049803	0.030509
24577	0.0495	0.049803	0.030509
24578	0.04475	0.049803	0.030509
24579			
24580			
24581			
24582			
24583	0.059	0.042803	0.030136
24584	0.04	0.042803	0.030136
24585	0.05425	0.042803	0.030136
24586	0.0495	0.042803	0.030136
24587	0.04475	0.042803	0.030136
24588			
24589			
24590			
24591			
24592	0.039	0.042803	0.030136
24593	0.02	0.042803	0.030136
24594	0.03425	0.042803	0.030136
24595	0.0295	0.042803	0.030136
24596	0.02475	0.042803	0.030136
24597			
24598			
24599			
24600			
24601	0.019	0.042803	0.030136
24602	0.0	0.042803	0.030136
24603	0.01425	0.042803	0.030136
24604	0.0095	0.042803	0.030136
24605	0.00475	0.042803	0.030136
24606			
24607			
24608			
24609			
24610	0.039	0.035803	0.029044
24611	0.02	0.035803	0.029044
24612	0.03425	0.035803	0.029044
24613	0.0295	0.035803	0.029044
24614	0.02475	0.035803	0.029044
24615			
24616			
24617			
24618			
24619	0.019	0.035803	0.029044
24620	0.0	0.035803	0.029044
24621	0.01425	0.035803	0.029044
24622	0.0095	0.035803	0.029044
24623	0.00475	0.035803	0.029044
24624			
24625			
24626			
24627			
24628	0.059	0.035803	0.029044
24629	0.04	0.035803	0.029044
24630	0.05425	0.035803	0.029044
24631	0.0495	0.035803	0.029044
24632	0.04475	0.035803	0.029044
24633			
24634			
24635			
24636			
24637	0.059	0.028803	0.027198
24638	0.04	0.028803	0.027198
24639	0.05425	0.028803	0.027198
24640	0.0495	0.028803	0.027198
24641	0.04475	0.028803	0.027198
24642			
24643			
24644			
24645			
24646	0.039	0.028803	0.027198
24647	0.02	0.028803	0.027198
24648	0.03425	0.028803	0.027198
24649	0.0295	0.028803	0.027198
24650	0.02475	0.028803	0.027198
24651			
24652			
24653			
24654			
24655	0.019	0.028803	0.027198
24656	0.0	0.028803	0.027198
24657	0.01425	0.028803	0.027198
24658	0.0095	0.028803	0.027198
24659	0.00475	0.028803	0.027198
24660			
24661			
24662			
24663			
24664	0.019	0.021802	0.024532
24665	0.0	0.021802	0.024532
24666	0.01425	0.021802	0.024532
24667	0.0095	0.021802	0.024532
24668	0.00475	0.021802	0.024532
24669			
24670			
24671			
24672			
24673	0.039	0.021802	0.024532
24674	0.02	0.021802	0.024532
24675	0.03425	0.021802	0.024532
24676	0.0295	0.021802	0.024532
24677	0.02475	0.021802	0.024532
24678			
24679			
24680			
24681			
24682	0.059	0.021802	0.024532
24683	0.04	0.021802	0.024532
24684	0.05425	0.021802	0.024532
24685	0.0495	0.021802	0.024532
24686	0.04475	0.021802	0.024532
24687			
24688			
24689			
24690			
24691	0.039	0.014802	0.020937
24692	0.02	0.014802	0.020937
24693	0.03425	0.014802	0.020937
24694	0.0295	0.014802	0.020937
24695	0.02475	0.014802	0.020937
24696			
24697			
24698			
24699			
24700	0.019	0.014802	0.020937
24701	0.0	0.014802	0.020937
24702	0.01425	0.014802	0.020937
24703	0.0095	0.014802	0.020937
24704	0.00475	0.014802	0.020937
24705			
24706			
24707			
24708			
24709	0.059	0.014802	0.020937
24710	0.04	0.014802	0.020937
24711	0.05425	0.014802	0.020937
24712	0.0495	0.014802	0.020937
24713	0.04475	0.014802	0.020937
24714			
24715			
24716			
24717			
24718	0.059	0.0078019	0.016231
24719	0.04	0.0078019	0.016231
24720	0.05425	0.0078019	0.016231
24721	0.0495	0.0078019	0.016231
24722	0.04475	0.0078019	0.016231
24723			
24724			
24725			
24726			
24727	0.039	0.0078019	0.016231
24728	0.02	0.0078019	0.016231
24729	0.03425	0.0078019	0.016231
24730	0.0295	0.0078019	0.016231
24731	0.02475	0.0078019	0.016231
24732			
24733			
24734			
24735			
24736	0.019	0.0078019	0.016231
24737	0.0	0.0078019	0.016231
24738	0.01425	0.0078019	0.016231
24739	0.0095	0.0078019	0.016231
24740	0.00475	0.0078019	0.016231
24741			
24742			
24743			
24744			
24745	0.019	0.00080961	0.010193
24746	0.0	0.00080961	0.010193
24747	0.01425	0.00080961	0.010193
24748	0.0095	0.00080961	0.010193
24749	0.00475	0.00080961	0.010193
24750			
24751			
24752			
24753			
24754	0.039	0.00080961	0.010193
24755	0.02	0.00080961	0.010193
24756	0.03425	0.00080961	0.010193
24757	0.0295	0.00080961	0.010193
24758	0.02475	0.00080961	0.010193
24759			
24760			
24761			
24762			
24763	0.059	0.00080961	0.010193
24764	0.04	0.00080961	0.010193
24765	0.05425	0.00080961	0.010193
24766	0.0495	0.00080961	0.010193
24767	0.04475	0.00080961	0.010193
24768			
24769			
24770			
24771			
24772	0.059	0.10081	0.010193
24773	0.04	0.10081	0.010193
24774	0.05425	0.10081	0.010193
24775	0.0495	0.10081	0.010193
24776	0.04475	0.10081	0.010193
24777			
24778			
24779			
24780			
24781	0.039	0.10081	0.010193
24782	0.02	0.10081	0.010193
24783	0.03425	0.10081	0.010193
24784	0.0295	0.10081	0.010193
24785	0.02475	0.10081	0.010193
24786			
24787			
24788			
24789			
24790	0.019	0.10081	0.010193
24791	0.0	0.10081	0.010193
24792	0.01425	0.10081	0.010193
24793	0.0095	0.10081	0.010193
24794	0.00475	0.10081	0.010193
24795			
24796			
24797			
24798			
24799	0.019	0.1078	0.016231
24800	0.0	0.1078	0.016231
24801	0.01425	0.1078	0.016231
24802	0.0095	0.1078	0.016231
24803	0.00475	0.1078	0.016231
24804			
24805			
24806			
24807			
24808	0.019	0.1148	0.020937
24809	0.0	0.1148	0.020937
24810	0.01425	0.1148	0.020937
24811	0.0095	0.1148	0.020937
24812	0.00475	0.1148	0.020937
24813			
24814			
24815			
24816			
24817	0.019	0.1218	0.024532
24818	0.0	0.1218	0.024532
24819	0.01425	0.1218	0.024532
24820	0.0095	0.1218	0.024532
24821	0.00475	0.1218	0.024532
24822			
24823			
24824			
24825			
24826	0.019	0.1288	0.027198
24827	0.0	0.1288	0.027198
24828	0.01425	0.1288	0.027198
24829	0.0095	0.1288	0.027198
24830	0.00475	0.1288	0.027198
24831			
24832			
24833			
24834			
24835	0.019	0.1358	0.029044
24836	0.0	0.1358	0.029044
24837	0.01425	0.1358	0.029044
24838	0.0095	0.1358	0.029044
24839	0.00475	0.1358	0.029044
24840			
24841			
24842			
24843			
24844	0.019	0.1428	0.030136
24845	0.0	0.1428	0.030136
24846	0.01425	0.1428	0.030136
24847	0.0095	0.1428	0.030136
24848	0.00475	0.1428	0.030136
24849			
24850			
24851			
24852			
24853	0.039	0.1428	0.030136
24854	0.02	0.1428	0.030136
24855	0.03425	0.1428	0.030136
24856	0.0295	0.1428	0.030136
24857	0.02475	0.1428	0.030136
24858			
24859			
24860			
24861			
24862	0.039	0.1358	0.029044
24863	0.02	0.1358	0.029044
24864	0.03425	0.1358	0.029044
24865	0.0295	0.1358	0.029044
24866	0.02475	0.1358	0.029044
24867			
24868			
24869			
24870			
24871	0.039	0.1288	0.027198
24872	0.02	0.1288	0.027198
24873	0.03425	0.1288	0.027198
24874	0.0295	0.1288	0.027198
24875	0.02475	0.1288	0.027198
24876			
24877			
24878			
24879			
24880	0.039	0.1218	0.024532
24881	0.02	0.1218	0.024532
24882	0.03425	0.1218	0.024532
24883	0.0295	0.1218	0.024532
24884	0.02475	0.1218	0.024532
24885			
24886			
24887			
24888			
24889	0.039	0.1148	0.020937
24890	0.02	0.1148	0.020937
24891	0.03425	0.1148	0.020937
24892	0.0295	0.1148	0.020937
24893	0.02475	0.1148	0.020937
24894			
24895			
24896			
24897			
24898	0.039	0.1078	0.016231
24899	0.02	0.1078	0.016231
24900	0.03425	0.1078	0.016231
24901	0.0295	0.1078	0.016231
24902	0.02475	0.1078	0.016231
24903			
24904			
24905			
24906			
24907	0.059	0.1078	0.016231
24908	0.04	0.1078	0.016231
24909	0.05425	0.1078	0.016231
24910	0.0495	0.1078	0.016231
24911	0.04475	0.1078	0.016231
24912			
24913			
24914			
24915			
24916	0.059	0.1148	0.020937
24917	0.04	0.1148	0.020937
24918	0.05425	0.1148	0.020937
24919	0.0495	0.1148	0.020937
24920	0.04475	0.1148	0.020937
24921			
24922			
24923			
24924			
24925	0.059	0.1218	0.024532
24926	0.04	0.1218	0.024532
24927	0.05425	0.1218	0.024532
24928	0.0495	0.1218	0.024532
24929	0.04475	0.1218	0.024532
24930			
24931			
24932			
24933			
24934	0.059	0.1288	0.027198
24935	0.04	0.1288	0.027198
24936	0.05425	0.1288	0.027198
24937	0.0495	0.1288	0.027198
24938	0.04475	0.1288	0.027198
24939			
24940			
24941			
24942			
24943	0.059	0.1358	0.029044
24944	0.04	0.1358	0.029044
24945	0.05425	0.1358	0.029044
24946	0.0495	0.1358	0.029044
24947	0.04475	0.1358	0.029044
24948			
24949			
24950			
24951			
24952	0.059	0.1428	0.030136
24953	0.04	0.1428	0.030136
24954	0.05425	0.1428	0.030136
24955	0.0495	0.1428	0.030136
24956	0.04475	0.1428	0.030136
24957			
24958			
24959			
24960			
24961	0.059	0.1498	0.030509
24962	0.04	0.1498	0.030509
24963	0.05425	0.1498	0.030509
24964	0.0495	0.1498	0.030509
24965	0.04475	0.1498	0.030509
24966			
24967			
24968			
24969			
24970	0.039	0.1498	0.030509
24971	0.02	0.1498	0.030509
24972	0.03425	0.1498	0.030509
24973	0.0295	0.1498	0.030509
24974	0.02475	0.1498	0.030509
24975			
24976			
24977			
24978			
24979	0.019	0.1498	0.030509
24980	0.0	0.1498	0.030509
24981	0.01425	0.1498	0.030509
24982	0.0095	0.1498	0.030509
24983	0.00475	0.1498	0.030509
24984			
24985			
24986			
24987			
24988	0.019	0.1568	0.030176
24989	0.0	0.1568	0.030176
24990	0.01425	0.1568	0.030176
24991	0.0095	0.1568	0.030176
24992	0.00475	0.1568	0.030176
24993			
24994			
24995			
24996			
24997	0.039	0.1568	0.030176
24998	0.02	0.1568	0.030176
24999	0.03425	0.1568	0.030176
25000	0.0295	0.1568	0.030176
25001	0.02475	0.1568	0.030176
25002			
25003			
25004			
25005			
25006	0.059	0.1568	0.030176
25007	0.04	0.1568	0.030176
25008	0.05425	0.1568	0.030176
25009	0.0495	0.1568	0.030176
25010	0.04475	0.1568	0.030176
25011			
25012			
25013			
25014			
25015	0.059	0.1638	0.029125
25016	0.04	0.1638	0.029125
25017	0.05425	0.1638	0.029125
25018	0.0495	0.1638	0.029125
25019	0.04475	0.1638	0.029125
25020			
25021			
25022			
25023			
25024	0.039	0.1638	0.029125
25025	0.02	0.1638	0.029125
25026	0.03425	0.1638	0.029125
25027	0.0295	0.1638	0.029125
25028	0.02475	0.1638	0.029125
25029			
25030			
25031			
25032			
25033	0.019	0.1638	0.029125
25034	0.0	0.1638	0.029125
25035	0.01425	0.1638	0.029125
25036	0.0095	0.1638	0.029125
25037	0.00475	0.1638	0.029125
25038			
25039			
25040			
25041			
25042	0.019	0.1708	0.027323
25043	0.0	0.1708	0.027323
25044	0.01425	0.1708	0.027323
25045	0.0095	0.1708	0.027323
25046	0.00475	0.1708	0.027323
25047			
25048			
25049			
25050			
25051	0.039	0.1708	0.027323
25052	0.02	0.1708	0.027323
25053	0.03425	0.1708	0.027323
25054	0.0295	0.1708	0.027323
25055	0.02475	0.1708	0.027323
25056			
25057			
25058			
25059			
25060	0.059	0.1708	0.027323
25061	0.04	0.1708	0.027323
25062	0.05425	0.1708	0.027323
25063	0.0495	0.1708	0.027323
25064	0.04475	0.1708	0.027323
25065			
25066			
25067			
25068			
25069	0.059	0.1778	0.024705
25070	0.04	0.1778	0.024705
25071	0.05425	0.1778	0.024705
25072	0.0495	0.1778	0.024705
25073	0.04475	0.1778	0.024705
25074			
25075			
25076			
25077			
25078	0.039	0.1778	0.024705
25079	0.02	0.1778	0.024705
25080	0.03425	0.1778	0.024705
25081	0.0295	0.1778	0.024705
25082	0.02475	0.1778	0.024705
25083			
25084			
25085			
25086			
25087	0.019	0.1778	0.024705
25088	0.0	0.1778	0.024705
25089	0.01425	0.1778	0.024705
25090	0.0095	0.1778	0.024705
25091	0.00475	0.1778	0.024705
25092			
25093			
25094			
25095			
25096	0.059	0.19899	0.010367
25097	0.04	0.19899	0.010367
25098	0.05425	0.19899	0.010367
25099	0.0495	0.19899	0.010367
25100	0.04475	0.19899	0.010367
25101			
25102			
25103			
25104			
25105	0.059	0.20081	0.010193
25106	0.04	0.20081	0.010193
25107	0.05425	0.20081	0.010193
25108	0.0495	0.20081	0.010193
25109	0.04475	0.20081	0.010193
25110			
25111			
25112			
25113			
25114	0.039	0.20081	0.010193
25115	0.02	0.20081	0.010193
25116	0.03425	0.20081	0.010193
25117	0.0295	0.20081	0.010193
25118	0.02475	0.20081	0.010193
25119			
25120			
25121			
25122			
25123	0.039	0.19899	0.010367
25124	0.02	0.19899	0.010367
25125	0.03425	0.19899	0.010367
25126	0.0295	0.19899	0.010367
25127	0.02475	0.19899	0.010367
25128			
25129			
25130			
25131			
25132	0.019	0.20081	0.010193
25133	0.0	0.20081	0.010193
25134	0.01425	0.20081	0.010193
25135	0.0095	0.20081	0.010193
25136	0.00475	0.20081	0.010193
25137			
25138			
25139			
25140			
25141	0.019	0.19899	0.010367
25142	0.0	0.19899	0.010367
25143	0.01425	0.19899	0.010367
25144	0.0095	0.19899	0.010367
25145	0.00475	0.19899	0.010367
25146			
25147			
25148			
25149			
25150	0.019	0.1918	0.016529
25151	0.0	0.1918	0.016529
25152	0.01425	0.1918	0.016529
25153	0.0095	0.1918	0.016529
25154	0.00475	0.1918	0.016529
25155			
25156			
25157			
25158			
25159	0.019	0.1848	0.021166
25160	0.0	0.1848	0.021166
25161	0.01425	0.1848	0.021166
25162	0.0095	0.1848	0.021166
25163	0.00475	0.1848	0.021166
25164			
25165			
25166			
25167			
25168	0.039	0.1848	0.021166
25169	0.02	0.1848	0.021166
25170	0.03425	0.1848	0.021166
25171	0.0295	0.1848	0.021166
25172	0.02475	0.1848	0.021166
25173			
25174			
25175			
25176			
25177	0.039	0.1918	0.016529
25178	0.02	0.1918	0.016529
25179	0.03425	0.1918	0.016529
25180	0.0295	0.1918	0.016529
25181	0.02475	0.1918	0.016529
25182			
25183			
25184			
25185			
25186	0.059	0.1918	0.016529
25187	0.04	0.1918	0.016529
25188	0.05425	0.1918	0.016529
25189	0.0495	0.1918	0.016529
25190	0.04475	0.1918	0.016529
25191			
25192			
25193			
25194			
25195	0.059	0.1848	0.021166
25196	0.04	0.1848	0.021166
25197	0.05425	0.1848	0.021166
25198	0.0495	0.1848	0.021166
25199	0.04475	0.1848	0.021166
25200			
25201			
25202			
25203			
25204	0.059	0.2078	0.016231
25205	0.04	0.2078	0.016231
25206	0.05425	0.2078	0.016231
25207	0.0495	0.2078	0.016231
25208	0.04475	0.2078	0.016231
25209			
25210			
25211			
25212			
25213	0.039	0.2078	0.016231
25214	0.02	0.2078	0.016231
25215	0.03425	0.2078	0.016231
25216	0.0295	0.2078	0.016231
25217	0.02475	0.2078	0.016231
25218			
25219			
25220			
25221			
25222	0.019	0.2078	0.016231
25223	0.0	0.2078	0.016231
25224	0.01425	0.2078	0.016231
25225	0.0095	0.2078	0.016231
25226	0.00475	0.2078	0.016231
25227			
25228			
25229			
25230			
25231	0.019	0.2148	0.020937
25232	0.0	0.2148	0.020937
25233	0.01425	0.2148	0.020937
25234	0.0095	0.2148	0.020937
25235	0.00475	0.2148	0.020937
25236			
25237			
25238			
25239			
25240	0.019	0.2218	0.024532
25241	0.0	0.2218	0.024532
25242	0.01425	0.2218	0.024532
25243	0.0095	0.2218	0.024532
25244	0.00475	0.2218	0.024532
25245			
25246			
25247			
25248			
25249	0.019	0.2288	0.027198
25250	0.0	0.2288	0.027198
25251	0.01425	0.2288	0.027198
25252	0.0095	0.2288	0.027198
25253	0.00475	0.2288	0.027198
25254			
25255			
25256			
25257			
25258	0.019	0.2358	0.029044
25259	0.0	0.2358	0.029044
25260	0.01425	0.2358	0.029044
25261	0.0095	0.2358	0.029044
25262	0.00475	0.2358	0.029044
25263			
25264			
25265			
25266			
25267	0.019	0.2428	0.030136
25268	0.0	0.2428	0.030136
25269	0.01425	0.2428	0.030136
25270	0.0095	0.2428	0.030136
25271	0.00475	0.2428	0.030136
25272			
25273			
25274			
25275			
25276	0.019	0.2498	0.030509
25277	0.0	0.2498	0.030509
25278	0.01425	0.2498	0.030509
25279	0.0095	0.2498	0.030509
25280	0.00475	0.2498	0.030509
25281			
25282			
25283			
25284			
25285	0.019	0.2568	0.030176
25286	0.0	0.2568	0.030176
25287	0.01425	0.2568	0.030176
25288	0.0095	0.2568	0.030176
25289	0.00475	0.2568	0.030176
25290			
25291			
25292			
25293			
25294	0.019	0.2638	0.029125
25295	0.0	0.2638	0.029125
25296	0.01425	0.2638	0.029125
25297	0.0095	0.2638	0.029125
25298	0.00475	0.2638	0.029125
25299			
25300			
25301			
25302			
25303	0.039	0.2638	0.029125
25304	0.02	0.2638	0.029125
25305	0.03425	0.2638	0.029125
25306	0.0295	0.2638	0.029125
25307	0.02475	0.2638	0.029125
25308			
25309			
25310			
25311			
25312	0.039	0.2568	0.030176
25313	0.02	0.2568	0.030176
25314	0.03425	0.2568	0.030176
25315	0.0295	0.2568	0.030176
25316	0.02475	0.2568	0.030176
25317			
25318			
25319			
25320			
25321	0.039	0.2498	0.030509
25322	0.02	0.2498	0.030509
25323	0.03425	0.2498	0.030509
25324	0.0295	0.2498	0.030509
25325	0.02475	0.2498	0.030509
25326			
25327			
25328			
25329			
25330	0.039	0.2428	0.030136
25331	0.02	0.2428	0.030136
25332	0.03425	0.2428	0.030136
25333	0.0295	0.2428	0.030136
25334	0.02475	0.2428	0.030136
25335			
25336			
25337			
25338			
25339	0.039	0.2358	0.029044
25340	0.02	0.2358	0.029044
25341	0.03425	0.2358	0.029044
25342	0.0295	0.2358	0.029044
25343	0.02475	0.2358	0.029044
25344			
25345			
25346			
25347			
25348	0.039	0.2288	0.027198
25349	0.02	0.2288	0.027198
25350	0.03425	0.2288	0.027198
25351	0.0295	0.2288	0.027198
25352	0.02475	0.2288	0.027198
25353			
25354			
25355			
25356			
25357	0.039	0.2218	0.024532
25358	0.02	0.2218	0.024532
25359	0.03425	0.2218	0.024532
25360	0.0295	0.2218	0.024532
25361	0.02475	0.2218	0.024532
25362			
25363			
25364			
25365			
25366	0.039	0.2148	0.020937
25367	0.02	0.2148	0.020937
25368	0.03425	0.2148	0.020937
25369	0.0295	0.2148	0.020937
25370	0.02475	0.2148	0.020937
25371			
25372			
25373			
25374			
25375	0.059	0.2148	0.020937
25376	0.04	0.2148	0.020937
25377	0.05425	0.2148	0.020937
25378	0.0495	0.2148	0.020937
25379	0.04475	0.2148	0.020937
25380			
25381			
25382			
25383			
25384	0.059	0.2218	0.024532
25385	0.04	0.2218	0.024532
25386	0.05425	0.2218	0.024532
25387	0.0495	0.2218	0.024532
25388	0.04475	0.2218	0.024532
25389			
25390			
25391			
25392			
25393	0.059	0.2288	0.027198
25394	0.04	0.2288	0.027198
25395	0.05425	0.2288	0.027198
25396	0.0495	0.2288	0.027198
25397	0.04475	0.2288	0.027198
25398			
25399			
25400			
25401			
25402	0.059	0.2358	0.029044
25403	0.04	0.2358	0.029044
25404	0.05425	0.2358	0.029044
25405	0.0495	0.2358	0.029044
25406	0.04475	0.2358	0.029044
25407			
25408			
25409			
25410			
25411	0.059	0.2428	0.030136
25412	0.04	0.2428	0.030136
25413	0.05425	0.2428	0.030136
25414	0.0495	0.2428	0.030136
25415	0.04475	0.2428	0.030136
25416			
25417			
25418			
25419			
25420	0.059	0.2498	0.030509
25421	0.04	0.2498	0.030509
25422	0.05425	0.2498	0.030509
25423	0.0495	0.2498	0.030509
25424	0.04475	0.2498	0.030509
25425			
25426			
25427			
25428			
25429	0.059	0.2568	0.030176
25430	0.04	0.2568	0.030176
25431	0.05425	0.2568	0.030176
25432	0.0495	0.2568	0.030176
25433	0.04475	0.2568	0.030176
25434			
25435			
25436			
25437			
25438	0.059	0.2638	0.029125
25439	0.04	0.2638	0.029125
25440	0.05425	0.2638	0.029125
25441	0.0495	0.2638	0.029125
25442	0.04475	0.2638	0.029125
25443			
25444			
25445			
25446			
25447	0.059	0.2708	0.027323
25448	0.04	0.2708	0.027323
25449	0.05425	0.2708	0.027323
25450	0.0495	0.2708	0.027323
25451	0.04475	0.2708	0.027323
25452			
25453			
25454			
25455			
25456	0.039	0.2708	0.027323
25457	0.02	0.2708	0.027323
25458	0.03425	0.2708	0.027323
25459	0.0295	0.2708	0.027323
25460	0.02475	0.2708	0.027323
25461			
25462			
25463			
25464			
25465	0.019	0.2708	0.027323
25466	0.0	0.2708	0.027323
25467	0.01425	0.2708	0.027323
25468	0.0095	0.2708	0.027323
25469	0.00475	0.2708	0.027323
25470			
25471			
25472			
25473			
25474	0.059	0.2778	0.024705
25475	0.04	0.2778	0.024705
25476	0.05425	0.2778	0.024705
25477	0.0495	0.2778	0.024705
25478	0.04475	0.2778	0.024705
25479			
25480			
25481			
25482			
25483	0.039	0.2778	0.024705
25484	0.02	0.2778	0.024705
25485	0.03425	0.2778	0.024705
25486	0.0295	0.2778	0.024705
25487	0.02475	0.2778	0.024705
25488			
25489			
25490			
25491			
25492	0.019	0.2778	0.024705
25493	0.0	0.2778	0.024705
25494	0.01425	0.2778	0.024705
25495	0.0095	0.2778	0.024705
25496	0.00475	0.2778	0.024705
25497			
25498			
25499			
25500			
25501	0.019	0.2848	0.021166
25502	0.0	0.2848	0.021166
25503	0.01425	0.2848	0.021166
25504	0.0095	0.2848	0.021166
25505	0.00475	0.2848	0.021166
25506			
25507			
25508			
25509			
25510	0.019	0.2918	0.016529
25511	0.0	0.2918	0.016529
25512	0.01425	0.2918	0.016529
25513	0.0095	0.2918	0.016529
25514	0.00475	0.2918	0.016529
25515			
25516			
25517			
25518			
25519	0.039	0.2918	0.016529
25520	0.02	0.2918	0.016529
25521	0.03425	0.2918	0.016529
25522	0.0295	0.2918	0.016529
25523	0.02475	0.2918	0.016529
25524			
25525			
25526			
25527			
25528	0.039	0.2848	0.021166
25529	0.02	0.2848	0.021166
25530	0.03425	0.2848	0.021166
25531	0.0295	0.2848	0.021166
25532	0.02475	0.2848	0.021166
25533			
25534			
25535			
25536			
25537	0.059	0.2848	0.021166
25538	0.04	0.2848	0.021166
25539	0.05425	0.2848	0.021166
25540	0.0495	0.2848	0.021166
25541	0.04475	0.2848	0.021166
25542			
25543			
25544			
25545			
25546	0.059	0.2918	0.016529
25547	0.04	0.2918	0.016529
25548	0.05425	0.2918	0.016529
25549	0.0495	0.2918	0.016529
25550	0.04475	0.2918	0.016529
25551			
25552			
25553			
25554			
25555	0.059	0.29899	0.010367
25556	0.04	0.29899	0.010367
25557	0.05425	0.29899	0.010367
25558	0.0495	0.29899	0.010367
25559	0.04475	0.29899	0.010367
25560			
25561			
25562			
25563			
25564	0.039	0.29899	0.010367
25565	0.02	0.29899	0.010367
25566	0.03425	0.29899	0.010367
25567	0.0295	0.29899	0.010367
25568	0.02475	0.29899	0.010367
25569			
25570			
25571			
25572			
