Beam	Node	X	Y	Z	track	arch	original
Beam_3_1_13	18703	0.057101	0.079821	0.023233	3	1	206
Beam_3_1_13	18730	0.057101	0.079821	0.02434	3	1	206
Beam_3_1_13	18723	0.047132	0.080182	0.024169	3	1	206
Beam_3_1_13	18711	0.047132	0.080182	0.023059	3	1	206
Beam_3_1_13	18729	0.051868	0.080182	0.024169	3	1	206
Beam_3_1_13	18709	0.051868	0.080182	0.023059	3	1	206
Beam_3_1_13	18694	0.043799	0.080307	0.022998	3	1	206
Beam_3_1_13	18738	0.043799	0.080307	0.024109	3	1	206
Beam_3_1_13	18704	0.05521	0.080316	0.022993	3	1	206
Beam_3_1_13	18731	0.05521	0.080316	0.024105	3	1	206
Beam_3_1_13	18710	0.0495	0.080803	0.022753	3	1	206
Beam_3_1_13	18726	0.0495	0.080803	0.023869	3	1	206
Beam_3_1_13	18737	0.045701	0.080806	0.023867	3	1	206
Beam_3_1_13	18693	0.045701	0.080806	0.022752	3	1	206
Beam_3_1_13	18705	0.053312	0.080813	0.022748	3	1	206
Beam_3_1_13	18732	0.053312	0.080813	0.023864	3	1	206
Beam_3_1_13	18692	0.047595	0.081303	0.022501	3	1	206
Beam_3_1_13	18740	0.047595	0.081303	0.023621	3	1	206
Beam_3_1_13	18697	0.051422	0.081308	0.022499	3	1	206
Beam_3_1_13	18733	0.051422	0.081308	0.023619	3	1	206
Beam_3_1_13	18691	0.045691	0.081803	0.022244	3	1	206
Beam_3_1_13	18743	0.045692	0.081803	0.023369	3	1	206
Beam_3_1_13	18734	0.053321	0.081806	0.023367	3	1	206
Beam_3_1_13	18698	0.053321	0.081806	0.022242	3	1	206
Beam_3_1_13	18683	0.049514	0.081807	0.022242	3	1	206
Beam_3_1_13	18747	0.049514	0.081807	0.023367	3	1	206
Beam_3_1_13	18690	0.043796	0.0823	0.021983	3	1	206
Beam_3_1_13	18742	0.043796	0.0823	0.023113	3	1	206
Beam_3_1_13	18699	0.055212	0.082302	0.021982	3	1	206
