,Beam,Node,X,Y,Z,track,arch,original,arc,beam_id,beam_id_mirrored,Beam_mirrored,Beam_mirrored_num
149,Beam_1_1_4,17944,0.0018938,0.016807,0.02264,1,1,173,1,4,12,Beam_1_1_12,1112
150,Beam_1_1_4,17908,0.0018938,0.016807,0.021502,1,1,173,1,4,12,Beam_1_1_12,1112
151,Beam_1_1_4,17956,0.01711,0.016819,0.022646,1,1,173,1,4,12,Beam_1_1_12,1112
152,Beam_1_1_4,17888,0.01711,0.016819,0.021508,1,1,173,1,4,12,Beam_1_1_12,1112
153,Beam_1_1_4,17935,0.0071173,0.017178,0.022838,1,1,173,1,4,12,Beam_1_1_12,1112
154,Beam_1_1_4,17915,0.0071173,0.017178,0.021704,1,1,173,1,4,12,Beam_1_1_12,1112
155,Beam_1_1_4,17933,0.011883,0.017178,0.022838,1,1,173,1,4,12,Beam_1_1_12,1112
156,Beam_1_1_4,17922,0.011883,0.017178,0.021704,1,1,173,1,4,12,Beam_1_1_12,1112
157,Beam_1_1_4,17907,0.0037961,0.017306,0.021773,1,1,173,1,4,12,Beam_1_1_12,1112
158,Beam_1_1_4,17943,0.0037961,0.017306,0.022906,1,1,173,1,4,12,Beam_1_1_12,1112
159,Beam_1_1_4,17889,0.015212,0.017316,0.021778,1,1,173,1,4,12,Beam_1_1_12,1112
160,Beam_1_1_4,17957,0.015212,0.017316,0.022911,1,1,173,1,4,12,Beam_1_1_12,1112
161,Beam_1_1_4,17934,0.0095,0.017803,0.023166,1,1,173,1,4,12,Beam_1_1_12,1112
162,Beam_1_1_4,17914,0.0095,0.017803,0.022038,1,1,173,1,4,12,Beam_1_1_12,1112
163,Beam_1_1_4,17942,0.0056914,0.017804,0.023166,1,1,173,1,4,12,Beam_1_1_12,1112
164,Beam_1_1_4,17906,0.0056914,0.017804,0.022038,1,1,173,1,4,12,Beam_1_1_12,1112
165,Beam_1_1_4,17958,0.013321,0.017811,0.02317,1,1,173,1,4,12,Beam_1_1_12,1112
166,Beam_1_1_4,17890,0.013321,0.017811,0.022042,1,1,173,1,4,12,Beam_1_1_12,1112
167,Beam_1_1_4,17905,0.0075949,0.018303,0.022299,1,1,173,1,4,12,Beam_1_1_12,1112
168,Beam_1_1_4,17941,0.0075949,0.018303,0.023423,1,1,173,1,4,12,Beam_1_1_12,1112
169,Beam_1_1_4,17955,0.011422,0.018308,0.023425,1,1,173,1,4,12,Beam_1_1_12,1112
170,Beam_1_1_4,17891,0.011422,0.018308,0.022301,1,1,173,1,4,12,Beam_1_1_12,1112
171,Beam_1_1_4,17940,0.0057006,0.0188,0.023673,1,1,173,1,4,12,Beam_1_1_12,1112
172,Beam_1_1_4,17913,0.0057007,0.0188,0.022553,1,1,173,1,4,12,Beam_1_1_12,1112
173,Beam_1_1_4,17892,0.013312,0.018804,0.022555,1,1,173,1,4,12,Beam_1_1_12,1112
174,Beam_1_1_4,17952,0.013312,0.018804,0.023674,1,1,173,1,4,12,Beam_1_1_12,1112
175,Beam_1_1_4,17948,0.0095141,0.018807,0.023676,1,1,173,1,4,12,Beam_1_1_12,1112
176,Beam_1_1_4,17896,0.0095141,0.018807,0.022557,1,1,173,1,4,12,Beam_1_1_12,1112
177,Beam_1_1_4,17939,0.0037986,0.019299,0.023919,1,1,173,1,4,12,Beam_1_1_12,1112
178,Beam_1_1_4,17912,0.0037987,0.019299,0.022804,1,1,173,1,4,12,Beam_1_1_12,1112
179,Beam_1_1_4,17953,0.01521,0.019302,0.02392,1,1,173,1,4,12,Beam_1_1_12,1112
180,Beam_1_1_4,17893,0.01521,0.019302,0.022805,1,1,173,1,4,12,Beam_1_1_12,1112
181,Beam_1_1_4,17949,0.0071423,0.019427,0.023981,1,1,173,1,4,12,Beam_1_1_12,1112
182,Beam_1_1_4,17897,0.0071424,0.019427,0.022867,1,1,173,1,4,12,Beam_1_1_12,1112
183,Beam_1_1_4,17904,0.011879,0.019427,0.022867,1,1,173,1,4,12,Beam_1_1_12,1112
184,Beam_1_1_4,17947,0.011879,0.019427,0.023981,1,1,173,1,4,12,Beam_1_1_12,1112
185,Beam_1_1_4,17911,0.001903,0.019797,0.023049,1,1,173,1,4,12,Beam_1_1_12,1112
186,Beam_1_1_4,17938,0.001903,0.019797,0.024159,1,1,173,1,4,12,Beam_1_1_12,1112
187,Beam_1_1_4,17894,0.017101,0.019798,0.023049,1,1,173,1,4,12,Beam_1_1_12,1112
188,Beam_1_1_4,17954,0.017101,0.019798,0.02416,1,1,173,1,4,12,Beam_1_1_12,1112
189,Beam_1_1_4,17898,0.0047588,0.020051,0.023172,1,1,173,1,4,12,Beam_1_1_12,1112
190,Beam_1_1_4,17950,0.0047588,0.020051,0.02428,1,1,173,1,4,12,Beam_1_1_12,1112
191,Beam_1_1_4,17946,0.014255,0.020051,0.02428,1,1,173,1,4,12,Beam_1_1_12,1112
192,Beam_1_1_4,17903,0.014255,0.020051,0.023172,1,1,173,1,4,12,Beam_1_1_12,1112
