Node Number	X Location (m)	Y Location (m)	Z Location (m)	
190	2.e-002	0.2455	-2.5783e-028	
191	1.5e-002	0.2455	-2.5783e-028	
192	1.e-002	0.2455	-2.5783e-028	
193	5.e-003	0.2455	-2.5783e-028	
194	3.4694e-017	0.2455	-2.5783e-028	
195	-5.e-003	0.2455	-2.5783e-028	
196	6.5e-002	0.2405	-2.4955e-028	
197	6.e-002	0.2405	-2.4955e-028	
198	5.5e-002	0.2405	-2.4955e-028	
199	5.e-002	0.2405	-2.4955e-028	
200	4.5e-002	0.2405	-2.4955e-028	
201	4.e-002	0.2405	-2.4955e-028	
202	3.5e-002	0.2405	-2.4955e-028	
203	3.e-002	0.2405	-2.4955e-028	
204	2.5e-002	0.2405	-2.4955e-028	
205	2.e-002	0.2405	-2.4955e-028	
206	1.5e-002	0.2405	-2.4955e-028	
207	1.e-002	0.2405	-2.4955e-028	
208	5.e-003	0.2405	-2.4955e-028	
209	3.3393e-017	0.2405	-2.4955e-028	
210	-5.e-003	0.2405	-2.4955e-028	
211	6.5e-002	0.2355	-2.4127e-028	
212	6.e-002	0.2355	-2.4127e-028	
213	5.5e-002	0.2355	-2.4127e-028	
214	5.e-002	0.2355	-2.4127e-028	
215	4.5e-002	0.2355	-2.4127e-028	
216	4.e-002	0.2355	-2.4127e-028	
217	3.5e-002	0.2355	-2.4127e-028	
218	3.e-002	0.2355	-2.4127e-028	
219	2.5e-002	0.2355	-2.4127e-028	
220	2.e-002	0.2355	-2.4127e-028	
221	1.5e-002	0.2355	-2.4127e-028	
222	1.e-002	0.2355	-2.4127e-028	
223	5.e-003	0.2355	-2.4127e-028	
224	3.3827e-017	0.2355	-2.4127e-028	
225	-5.e-003	0.2355	-2.4127e-028	
226	6.5e-002	0.2305	-2.3299e-028	
227	6.e-002	0.2305	-2.3299e-028	
228	5.5e-002	0.2305	-2.3299e-028	
229	5.e-002	0.2305	-2.3299e-028	
230	4.5e-002	0.2305	-2.3299e-028	
231	4.e-002	0.2305	-2.3299e-028	
232	3.5e-002	0.2305	-2.3299e-028	
233	3.e-002	0.2305	-2.3299e-028	
234	2.5e-002	0.2305	-2.3299e-028	
235	2.e-002	0.2305	-2.3299e-028	
236	1.5e-002	0.2305	-2.3299e-028	
237	1.e-002	0.2305	-2.3299e-028	
238	5.e-003	0.2305	-2.3299e-028	
239	-1.3054e-016	0.2305	-2.3299e-028	
240	-5.e-003	0.2305	-2.3299e-028	
241	6.5e-002	0.2255	-2.247e-028	
242	6.e-002	0.2255	-2.247e-028	
243	5.5e-002	0.2255	-2.247e-028	
244	5.e-002	0.2255	-2.247e-028	
245	4.5e-002	0.2255	-2.247e-028	
246	4.e-002	0.2255	-2.247e-028	
247	3.5e-002	0.2255	-2.247e-028	
248	3.e-002	0.2255	-2.247e-028	
249	2.5e-002	0.2255	-2.247e-028	
250	2.e-002	0.2255	-2.247e-028	
251	1.5e-002	0.2255	-2.247e-028	
252	1.e-002	0.2255	-2.247e-028	
253	5.e-003	0.2255	-2.247e-028	
254	7.5894e-017	0.2255	-2.247e-028	
255	-5.e-003	0.2255	-2.247e-028	
256	6.5e-002	0.2205	-2.1642e-028	
257	6.e-002	0.2205	-2.1642e-028	
258	5.5e-002	0.2205	-2.1642e-028	
259	5.e-002	0.2205	-2.1642e-028	
260	4.5e-002	0.2205	-2.1642e-028	
261	4.e-002	0.2205	-2.1642e-028	
262	3.5e-002	0.2205	-2.1642e-028	
263	3.e-002	0.2205	-2.1642e-028	
264	2.5e-002	0.2205	-2.1642e-028	
265	2.e-002	0.2205	-2.1642e-028	
266	1.5e-002	0.2205	-2.1642e-028	
267	1.e-002	0.2205	-2.1642e-028	
268	5.e-003	0.2205	-2.1642e-028	
269	-4.3368e-017	0.2205	-2.1642e-028	
270	-5.e-003	0.2205	-2.1642e-028	
271	6.5e-002	0.2155	-2.0814e-028	
272	6.e-002	0.2155	-2.0814e-028	
273	5.5e-002	0.2155	-2.0814e-028	
274	5.e-002	0.2155	-2.0814e-028	
275	4.5e-002	0.2155	-2.0814e-028	
276	4.e-002	0.2155	-2.0814e-028	
277	3.5e-002	0.2155	-2.0814e-028	
278	3.e-002	0.2155	-2.0814e-028	
279	2.5e-002	0.2155	-2.0814e-028	
280	2.e-002	0.2155	-2.0814e-028	
281	1.5e-002	0.2155	-2.0814e-028	
282	1.e-002	0.2155	-2.0814e-028	
283	5.e-003	0.2155	-2.0814e-028	
284	3.4694e-017	0.2155	-2.0814e-028	
285	-5.e-003	0.2155	-2.0814e-028	
286	6.5e-002	0.2105	-1.9985e-028	
287	6.e-002	0.2105	-1.9985e-028	
288	5.5e-002	0.2105	-1.9985e-028	
289	5.e-002	0.2105	-1.9985e-028	
290	4.5e-002	0.2105	-1.9985e-028	
291	4.e-002	0.2105	-1.9985e-028	
292	3.5e-002	0.2105	-1.9985e-028	
293	3.e-002	0.2105	-1.9985e-028	
294	2.5e-002	0.2105	-1.9985e-028	
295	2.e-002	0.2105	-1.9985e-028	
296	1.5e-002	0.2105	-1.9985e-028	
297	1.e-002	0.2105	-1.9985e-028	
298	5.e-003	0.2105	-1.9985e-028	
299	-4.2934e-017	0.2105	-1.9985e-028	
300	-5.e-003	0.2105	-1.9985e-028	
301	6.5e-002	0.2055	-1.9157e-028	
302	6.e-002	0.2055	-1.9157e-028	
303	5.5e-002	0.2055	-1.9157e-028	
304	5.e-002	0.2055	-1.9157e-028	
305	4.5e-002	0.2055	-1.9157e-028	
306	4.e-002	0.2055	-1.9157e-028	
307	3.5e-002	0.2055	-1.9157e-028	
308	3.e-002	0.2055	-1.9157e-028	
309	2.5e-002	0.2055	-1.9157e-028	
310	2.e-002	0.2055	-1.9157e-028	
311	1.5e-002	0.2055	-1.9157e-028	
312	1.e-002	0.2055	-1.9157e-028	
313	5.e-003	0.2055	-1.9157e-028	
314	3.3827e-017	0.2055	-1.9157e-028	
315	-5.e-003	0.2055	-1.9157e-028	
316	6.5e-002	0.2005	-1.8329e-028	
317	6.e-002	0.2005	-1.8329e-028	
318	5.5e-002	0.2005	-1.8329e-028	
319	5.e-002	0.2005	-1.8329e-028	
320	4.5e-002	0.2005	-1.8329e-028	
321	4.e-002	0.2005	-1.8329e-028	
322	3.5e-002	0.2005	-1.8329e-028	
323	3.e-002	0.2005	-1.8329e-028	
324	2.5e-002	0.2005	-1.8329e-028	
