combo,variable,top_pct,intersection_size,IOU
"(2, 1, 0)",ShearStress_XY,400,848,0.3161819537658464
"(2, 1, 0)",ShearStress_XY,500,958,0.32245035341635814
"(2, 1, 0)",ShearStress_XY,600,1035,0.31729000613120784
"(2, 1, 0)",ShearStress_XZ,50,157,0.0891032917139614
"(2, 1, 0)",ShearStress_XZ,100,304,0.16127320954907162
"(2, 1, 0)",ShearStress_XZ,200,547,0.2537105751391466
"(2, 1, 0)",ShearStress_XZ,300,724,0.29418935392117024
"(2, 1, 0)",ShearStress_XZ,400,870,0.3176341730558598
"(2, 1, 0)",ShearStress_XZ,500,963,0.3180317040951123
"(2, 1, 0)",ShearStress_XZ,600,1023,0.3079470198675497
"(2, 1, 0)",ShearStress_YZ,50,98,0.05511811023622047
"(2, 1, 0)",Combo_XZ,50,190,0.1014957264957265
"(2, 1, 0)",Combo_XZ,100,0,0.0
"(2, 1, 0)",Combo_XZ,200,0,0.0
"(2, 1, 0)",Combo_XZ,300,0,0.0
"(2, 1, 0)",Combo_XZ,400,0,0.0
"(2, 1, 0)",Combo_XZ,500,0,0.0
"(2, 1, 0)",Combo_XZ,600,0,0.0
"(3, 0, 0)",TotalDeformation,50,163,0.09400230680507497
"(3, 0, 0)",TotalDeformation,100,384,0.2148852825965305
"(3, 0, 0)",TotalDeformation,200,647,0.31423020883924235
"(3, 0, 0)",TotalDeformation,300,914,0.40246587406428885
"(3, 0, 0)",TotalDeformation,400,1099,0.4380231167795935
"(3, 0, 0)",TotalDeformation,500,1196,0.4414913252122554
"(3, 0, 0)",TotalDeformation,600,1274,0.43810178817056394
"(3, 0, 0)",DirectionalDeformation_X_axis,50,66,0.036544850498338874
"(3, 0, 0)",DirectionalDeformation_X_axis,100,153,0.07665330661322645
"(3, 0, 0)",DirectionalDeformation_X_axis,200,394,0.1704152249134948
"(3, 0, 0)",DirectionalDeformation_X_axis,300,614,0.23670007710100233
"(3, 0, 0)",DirectionalDeformation_X_axis,400,797,0.2769284225156359
"(3, 0, 0)",DirectionalDeformation_X_axis,500,939,0.2964951057783391
"(3, 0, 0)",DirectionalDeformation_X_axis,600,1057,0.30655452436194897
"(3, 0, 0)",DirectionalDeformation_Y_axis,50,85,0.047274749721913235
"(3, 0, 0)",DirectionalDeformation_Y_axis,100,190,0.09773662551440329
"(3, 0, 0)",DirectionalDeformation_Y_axis,200,399,0.18244170096021947
"(3, 0, 0)",DirectionalDeformation_Y_axis,300,530,0.21712412945514134
"(3, 0, 0)",DirectionalDeformation_Y_axis,400,664,0.25113464447806355
"(3, 0, 0)",DirectionalDeformation_Y_axis,500,768,0.26675929142063215
"(3, 0, 0)",DirectionalDeformation_Y_axis,600,833,0.2675016056518947
"(3, 0, 0)",DirectionalDeformation_Z_axis,50,140,0.08018327605956473
"(3, 0, 0)",DirectionalDeformation_Z_axis,100,383,0.21675155631013016
"(3, 0, 0)",DirectionalDeformation_Z_axis,200,785,0.4140295358649789
